,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,has_basement,new_house,week,month,year,season,status,Sell Price,Profit,valor_m2
0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,0,1955,0,98178,47.5112,-122.257,0,0,42,10,2014,fall,Buy,244090.00000000003,22190.00000000003,39.27433628318584
1,6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,400,1951,1991,98125,47.721,-122.319,1,1,50,12,2014,winter,Not Buy,0.0,0.0,74.28887047776857
2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,0,1933,0,98028,47.7379,-122.233,0,1,9,2,2015,winter,Buy,234000.0,54000.0,18.0
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,910,1965,0,98136,47.5208,-122.393,1,0,50,12,2014,winter,Not Buy,0.0,0.0,120.8
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,0,1987,0,98074,47.6168,-122.045,0,0,8,2,2015,winter,Buy,561000.0,51000.0,63.118811881188115
5,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,0,1995,0,98003,47.3097,-122.327,0,0,26,6,2014,summer,Buy,283250.0,25750.0,37.762135210441414
6,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,0,1963,0,98198,47.4095,-122.315,0,0,3,1,2015,winter,Not Buy,0.0,0.0,30.053547523427042
7,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,730,1960,0,98146,47.5123,-122.337,1,0,16,4,2015,spring,Buy,298350.0,68850.0,30.72289156626506
8,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,0,2003,0,98038,47.3684,-122.031,0,0,11,3,2015,spring,Buy,355300.0,32300.0,49.23780487804878
9,1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1700,1965,0,98007,47.6007,-122.145,1,0,14,4,2015,spring,Not Buy,0.0,0.0,67.62964475296039
10,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,300,1942,0,98115,47.69,-122.292,1,1,22,5,2014,spring,Not Buy,0.0,0.0,78.0
11,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,0,1927,0,98028,47.7558,-122.229,0,1,22,5,2014,spring,Not Buy,0.0,0.0,15.57710667805638
12,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,0,1977,0,98074,47.6127,-122.045,0,0,41,10,2014,fall,Not Buy,0.0,0.0,41.32231404958678
13,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,0,1900,0,98107,47.67,-122.394,0,1,11,3,2015,spring,Not Buy,0.0,0.0,109.27835051546391
14,9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,970,1979,0,98126,47.5714,-122.375,1,0,4,1,2015,winter,Not Buy,0.0,0.0,130.0
15,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,0,1994,0,98019,47.7277,-121.962,0,0,31,7,2014,summer,Buy,434500.00000000006,39500.00000000006,28.133903133903132
16,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,0,1916,0,98103,47.6648,-122.343,0,1,22,5,2014,spring,Not Buy,0.0,0.0,112.79069767441861
17,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,0,1921,0,98002,47.3089,-122.21,0,1,49,12,2014,winter,Not Buy,0.0,0.0,19.18781725888325
18,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,0,1969,0,98003,47.3343,-122.306,0,0,17,4,2015,spring,Not Buy,0.0,0.0,23.531819111929607
19,6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,760,1947,0,98133,47.7025,-122.341,1,1,20,5,2014,spring,Not Buy,0.0,0.0,77.30923694779116
20,7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,0,1995,0,98092,47.3266,-122.169,0,0,27,7,2014,summer,Buy,313500.0,28500.0,45.23809523809524
21,8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,0,1985,0,98030,47.3533,-122.166,0,0,20,5,2014,spring,Buy,277970.0,25270.0,26.205537695737842
22,3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,0,1985,0,98030,47.3739,-122.172,0,0,47,11,2014,fall,Not Buy,0.0,0.0,50.61538461538461
23,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,0,1941,0,98002,47.3048,-122.218,0,1,45,11,2014,fall,Not Buy,0.0,0.0,49.60613157334469
24,1794500383,2014-06-26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,700,1915,0,98119,47.6386,-122.36,1,1,26,6,2014,summer,Not Buy,0.0,0.0,348.19769602378295
25,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,0,1909,0,98112,47.6221,-122.314,0,1,49,12,2014,winter,Not Buy,0.0,0.0,421.88488298545224
26,5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,730,1948,0,98115,47.695,-122.304,1,1,26,6,2014,summer,Buy,569400.0,131400.0,68.65203761755485
27,1873100390,2015-03-02,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,0,2005,0,98052,47.7073,-122.11,0,0,10,3,2015,spring,Not Buy,0.0,0.0,100.23699986058831
28,8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,0,2003,0,98027,47.5391,-122.07,0,0,46,11,2014,fall,Not Buy,0.0,0.0,145.85427135678393
